"id_fs","lib_fs"
"632","France services Paysages de la Champagne - Antenne Châtillon sur Marne"
"633","France services Paysages de la Champagne - Antenne Montmort-Lucy"
"634","France services Agora"
"635","France services Val de Durance"
"636","France services Les Aspres"
"637","France services Maison du département de Saint-Martin-Vésubie"
"638","France services Entraygues sur Truyère"
"639","France services Sévérac d'Aveyron"
"640","Bus France services CyberCantal"
"641","France services La Poste du Chambon-sur-Lignon"
"642","France services de Guillestrois"
"643","France services Petite Montagne"
"644","France services Porte du Jura"
"645","France services de Petite-Île - Piton des Goyaves"
"646","France services Nozay"
"647","France services de Pithiviers - Maison du département"
"648","France services Villeneuve-sur-Lot"
"649","France services de Saint-Remy-en-Bouzemont"
"650","France services Bocage Champenois - Antenne Thiéblemont-Farémont"
"651","France services Suippes"
"652","France services La Poste d'Ennery"
"653","France services Vic sur Seille"
"654","France services Morhange"
"655","France services de Saint-Benin d'Azy"
"656","France services Pimms Médiation Lyon Métropole - Rillieux la Pape"
"657","France services Pimms Médiation Lyon Métropole - Etats-Unis"
"658","France services Pimms Médiation Lyon Métropole - Vaise"
"659","France services de Thizy-les-Bourgs"
"660","France services Pimms Médiation Agglomération Villefranche Beaujolais Saône"
"661","France services Vaugneray"
"662","France services La Poste de Fleurie"
"663","France services Loir-Lucé-Bercé"
"664","France services Voyageurs 72"
"665","France services Moûtiers"
"666","France services Bacqueville-en-Caux"
"667","France services de Villiers-sur-Marne - L'Escale"
"668","France services La Poste de Saint-Denis"
"669","France services Janzé"
"670","France services Association Ségala Limargue - Antenne Sousceyrac-en-Quercy"
"671","France services de Mortain Bocage"
"673","France services Cèze Cévennes - Antenne de Bessèges"
"674","France services Cèze Cévennes - Antenne de Molières sur Cèze"
"675","France services Cèze Cévennes - Antenne itinérante (bus)"
"676","France services Relais emploi intercommunal du Pont du Gard - Antenne d'Aramon"
"677","France services Pays Ségali - Antenne de Colombies"
"678","France services Pays Ségali - Antenne de Ceignac"
"679","France services Pays Ségali - Antenne de Moyrazes"
"680","France services Pays Ségali - Antenne de Baraqueville"
"681","France services Pays Ségali - Antenne de Cassagnes-bégonhès"
"682","France services Haute Comté - Antenne de Vauvillers"
"692","France services Carentan - Antenne de Picauville"
"693","France services Carentan - Antenne de Sainte-Mère-Eglise"
"695","France services multisites de Veyle"
"696","France services Albarine"
"697","France services Haut-Bugey Nantua"
"698","France services de Vic-sur-Aisne"
"699","Bus France services du Vermandois"
"700","France services Agglomération de la région de Château-Thierry - Etampes sur Marne"
"701","France services de la Communauté de communes des Portes de la Thiérache"
"702","France services Hirson"
"703","France services La Poste de Crécy-sur-Serre"
"704","France services de Sisteron"
